# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
0.0; 0.0; 0; 3.1415927; 0; 1; 0
0.199947; -0.08; 0; 3.1415927; 0; 1; 0
0.399894; -0.16; 0; 3.1415927; 0; 1; 0
0.599841; -0.24; 0; 3.1415927; 0; 1; 0
0.799788; -0.32; 0; 3.1415927; 0; 1; 0
0.999735; -0.4; 0; 3.1415927; 0; 1; 0
1.199682; -0.48; 0; 3.1415927; 0; 1; 0
1.399629; -0.56; 0; 3.1415927; 0; 1; 0
1.599576; -0.64; 0; 3.1415927; 0; 1; 0
1.799523; -0.72; 0; 3.1415927; 0; 1; 0
1.99947; -0.8; 0; 3.1415927; 0; 1; 0
2.199417; -0.88; 0; 3.1415927; 0; 1; 0
2.399364; -0.96; 0; 3.1415927; 0; 1; 0
2.599311; -1.04; 0; 3.1415927; 0; 1; 0
2.799258; -1.12; 0; 3.1415927; 0; 1; 0
2.999205; -1.2; 0; 3.1415927; 0; 1; 0
3.199152; -1.28; 0; 3.1415927; 0; 1; 0
3.399099; -1.36; 0; 3.1415927; 0; 1; 0
3.599046; -1.44; 0; 3.1415927; 0; 1; 0
3.798993; -1.52; 0; 3.1415927; 0; 1; 0
3.99894; -1.6; 0; 3.1415927; 0; 1; 0
4.198887; -1.68; 0; 3.1415927; 0; 1; 0
4.398834; -1.76; 0; 3.1415927; 0; 1; 0
4.598781; -1.84; 0; 3.1415927; 0; 1; 0
4.798728; -1.92; 0; 3.1415927; 0; 1; 0
4.998675; -2.0; 0; 3.1415927; 0; 1; 0
5.198622; -2.08; 0; 3.1415927; 0; 1; 0
5.398569; -2.16; 0; 3.1415927; 0; 1; 0
5.598516; -2.24; 0; 3.1415927; 0; 1; 0
5.798463; -2.32; 0; 3.1415927; 0; 1; 0
5.99841; -2.4; 0; 3.1415927; 0; 1; 0
6.198357; -2.48; 0; 3.1415927; 0; 1; 0
6.398304; -2.56; 0; 3.1415927; 0; 1; 0
6.598251; -2.64; 0; 3.1415927; 0; 1; 0
6.798198; -2.72; 0; 3.1415927; 0; 1; 0
6.998145; -2.8000000000000003; 0; 3.1415927; 0; 1; 0
7.198092; -2.88; 0; 3.1415927; 0; 1; 0
7.398039; -2.96; 0; 3.1415927; 0; 1; 0
7.597986; -3.04; 0; 3.1415927; 0; 1; 0
7.797933; -3.12; 0; 3.1415927; 0; 1; 0
7.99788; -3.2; 0; 3.1415927; 0; 1; 0
8.197827; -3.2800000000000002; 0; 3.1415927; 0; 1; 0
8.397774; -3.36; 0; 3.1415927; 0; 1; 0
8.597721; -3.44; 0; 3.1415927; 0; 1; 0
8.797668; -3.52; 0; 3.1415927; 0; 1; 0
8.997615; -3.6; 0; 3.1415927; 0; 1; 0
9.197562; -3.68; 0; 3.1415927; 0; 1; 0
9.397509; -3.7600000000000002; 0; 3.1415927; 0; 1; 0
9.597456; -3.84; 0; 3.1415927; 0; 1; 0
9.797403; -3.92; 0; 3.1415927; 0; 1; 0
9.99735; -4.0; 0; 3.1415927; 0; 1; 0
10.197297; -4.08; 0; 3.1415927; 0; 1; 0
10.397244; -4.16; 0; 3.1415927; 0; 1; 0
10.597191; -4.24; 0; 3.1415927; 0; 1; 0
10.797138; -4.32; 0; 3.1415927; 0; 1; 0
10.997085; -4.4; 0; 3.1415927; 0; 1; 0
11.197032; -4.48; 0; 3.1415927; 0; 1; 0
11.396979; -4.5600000000000005; 0; 3.1415927; 0; 1; 0
11.596926; -4.64; 0; 3.1415927; 0; 1; 0
11.796873; -4.72; 0; 3.1415927; 0; 1; 0
11.99682; -4.8; 0; 3.1415927; 0; 1; 0
12.196767; -4.88; 0; 3.1415927; 0; 1; 0
12.396714; -4.96; 0; 3.1415927; 0; 1; 0
12.596661; -5.04; 0; 3.1415927; 0; 1; 0
12.796608; -5.12; 0; 3.1415927; 0; 1; 0
12.996555; -5.2; 0; 3.1415927; 0; 1; 0
13.196502; -5.28; 0; 3.1415927; 0; 1; 0
13.396449; -5.36; 0; 3.1415927; 0; 1; 0
13.596396; -5.44; 0; 3.1415927; 0; 1; 0
13.796343; -5.5200000000000005; 0; 3.1415927; 0; 1; 0
13.99629; -5.6000000000000005; 0; 3.1415927; 0; 1; 0
14.196237; -5.68; 0; 3.1415927; 0; 1; 0
14.396184; -5.76; 0; 3.1415927; 0; 1; 0
14.596131; -5.84; 0; 3.1415927; 0; 1; 0
14.796078; -5.92; 0; 3.1415927; 0; 1; 0
14.996025; -6.0; 0; 3.1415927; 0; 1; 0
15.195972; -6.08; 0; 3.1415927; 0; 1; 0
15.395919; -6.16; 0; 3.1415927; 0; 1; 0
15.595866; -6.24; 0; 3.1415927; 0; 1; 0
15.795813; -6.32; 0; 3.1415927; 0; 1; 0
15.99576; -6.4; 0; 3.1415927; 0; 1; 0
16.195707; -6.48; 0; 3.1415927; 0; 1; 0
16.395654; -6.5600000000000005; 0; 3.1415927; 0; 1; 0
16.595601; -6.640000000000001; 0; 3.1415927; 0; 1; 0
16.795548; -6.72; 0; 3.1415927; 0; 1; 0
16.995495; -6.8; 0; 3.1415927; 0; 1; 0
